20110304,5,163,152
20110305,3,166,155
20110307,23,189,165
20110308,13,202,178
20110318,8,210,152
20110322,8,218,160
20110325,5,223,163
20110326,8,231,165
20110327,10,241,168
20110329,5,246,175
20111122,3,249,0
20111125,3,252,61
20111203,3,255,56
20111205,8,263,84
20111213,5,268,74
20111214,10,278,84
20111215,5,283,86
20111222,8,291,84
20111223,5,296,86
20100119,3,3,91
20100120,10,13,102
20100121,5,18,104
20100122,33,51,132
20100123,13,64,137
20100124,28,92,150
20100127,3,95,132
20100128,5,100,132
20100204,5,105,124
20100207,8,113,124
20100208,15,128,140
20100209,5,133,140
20100211,3,136,132
20100214,15,151,140
20100216,5,156,135
20100219,5,161,132
20100220,33,194,160
20100221,13,207,168
20100222,28,235,183
20100223,3,238,173
20100225,8,246,168
20100226,3,249,165
20100301,3,252,155
20100305,3,255,147
20100308,10,265,157
20100309,20,285,173
20100310,5,290,165
20100311,23,313,178
20100314,8,321,175
20100315,10,331,185
20100320,28,359,196
20100324,8,367,175
20100325,3,370,173
20100327,56,426,208
20100401,3,429,188
20100402,23,452,203
20100403,10,462,198
20101122,15,477,0
20101123,3,480,0
20101124,5,485,81
20101125,8,493,81
20101129,8,501,81
20101130,3,504,79
20101207,3,507,71
20101210,5,512,76
20101211,5,517,81
20101216,8,525,81
20101217,5,530,86
20101218,5,535,91
20101219,15,550,99
20101220,8,558,104
20101221,8,566,109
20101222,8,574,109
20101230,23,597,119
20101231,10,607,124
20090104,15,15,147
20090105,8,23,150
20090106,5,28,147
20090107,8,36,152
20090110,13,49,152
20090113,3,52,150
20090114,3,55,147
20090123,3,58,135
20090124,8,66,140
20090125,8,74,142
20090126,15,89,160
20090127,15,104,165
20090128,3,107,160
20090129,3,110,155
20090209,15,125,147
20090210,25,150,163
20090211,13,163,168
20090213,10,173,165
20090217,3,176,152
20090218,3,179,155
20090219,8,187,160
20090223,8,195,155
20090224,15,210,165
20090308,10,220,150
20090310,13,233,150
20090311,3,236,150
20090323,10,246,135
20090324,18,264,137
20090325,5,269,140
20090326,8,277,145
20090327,18,295,145
20090331,8,303,150
20090401,8,311,150
20090402,10,321,150
20090403,10,331,152
20090404,8,339,152
20090405,15,354,155
20090410,8,362,155
20090411,15,377,155
20090412,36,413,160
20091118,33,446,0
20091123,10,456,58
20091208,3,459,53
20091209,5,464,89
20091210,3,467,91
20091212,3,470,81
20091213,10,480,84
20091214,23,503,107
20091223,5,508,84
20091224,5,513,86
20091230,20,533,102
20091231,23,556,124
